iter	Logloss
0	0.6459172479
1	0.6024935884
2	0.5647203473
3	0.5296560551
4	0.4975006161
5	0.4690715465
6	0.4451752434
7	0.4225749831
8	0.4003747289
9	0.3805627044
10	0.3614983106
11	0.3482083031
12	0.3338024234
13	0.3228445686
14	0.3108276149
15	0.3002685632
16	0.2903609716
17	0.2795558623
18	0.2701049015
19	0.262962993
20	0.2556965142
21	0.2486304765
22	0.2437768139
23	0.2378258529
24	0.231606197
25	0.2270987388
26	0.2224572602
27	0.2177665768
28	0.2147775239
29	0.2110336961
30	0.207549905
31	0.2040992767
32	0.2007039408
33	0.1980445588
34	0.1949260494
35	0.1914402023
36	0.1884706386
37	0.1866254062
38	0.1849054599
39	0.1810793556
40	0.178723352
41	0.1766001861
42	0.1749461697
43	0.1719557733
44	0.1699420395
45	0.1670701858
46	0.1659060805
47	0.1640342124
48	0.1613945022
49	0.1603948005
50	0.157933176
51	0.1567203152
52	0.1544181771
53	0.1519718057
54	0.150148607
55	0.1495339752
56	0.148278905
57	0.1474760358
58	0.146627352
59	0.1452928453
60	0.1442916098
61	0.1432587064
62	0.1422268751
63	0.1414662856
64	0.1406482455
65	0.1401548003
66	0.1394653835
67	0.1386863228
68	0.1381629762
69	0.1373432093
70	0.1366891355
71	0.1349398503
72	0.1341493722
73	0.1338047812
74	0.1326977654
75	0.1321179929
76	0.1309374995
77	0.1300033602
78	0.1295377792
79	0.1290751718
80	0.1285897759
81	0.128079135
82	0.1276038834
83	0.126471233
84	0.1254234678
85	0.1248875304
86	0.1239251294
87	0.1229351059
88	0.1224936526
89	0.1216290926
90	0.1207862212
91	0.1204930791
92	0.1200826243
93	0.119588681
94	0.118771623
95	0.1183433319
96	0.1180784973
97	0.1178850423
98	0.1172015937
99	0.1169590128
100	0.1166465327
101	0.1163156104
102	0.1160034087
103	0.1157173623
104	0.1150495999
105	0.1143693305
106	0.114147827
107	0.1138504527
108	0.1135740574
109	0.1126707286
110	0.1124980491
111	0.1121951763
112	0.1119976272
113	0.1114111638
114	0.111053342
115	0.1106627006
116	0.1104886893
117	0.1099955621
118	0.1097728084
119	0.1092814047
120	0.1090265155
121	0.1088487121
122	0.108723002
123	0.1085539906
124	0.1082771903
125	0.1080476287
126	0.1077641813
127	0.1072445576
128	0.1070365705
129	0.1068419994
130	0.1066422289
131	0.1062352767
132	0.1060993657
133	0.1058587243
134	0.1057423646
135	0.1055709347
136	0.1053524288
137	0.1051945053
138	0.1047356423
139	0.1046657208
140	0.1042519897
141	0.1040268301
142	0.1037311894
143	0.1036031253
144	0.1034900737
145	0.1033151589
146	0.1031547432
147	0.1030355576
148	0.102850109
149	0.1026387993
